ID          Chr    Position
M1           1     0.00001
M2           1     0.12501
M3           1     0.25001
M4           1     0.28126
M5           1     0.31251
M6           1     0.34376
M7           1     0.37501
M8           1     0.40626
M9           1     0.43751
M10          1     0.46876
M11          1     0.50001
M12          1     0.53126
M13          1     0.56251
M14          1     0.59376
M15          1     0.62501
M16          1     0.65626
M17          1     0.68751
M18          1     0.71876
M19          1     0.75001
M20          1     0.87501
M21          1     0.90626
M22          1     0.93751
M23          1     0.96876
M24          1     1.00001
M25          1     1.03126
M26          1     1.06251
M27          1     1.09376
M28          1     1.12501
M29          1     1.15626
M30          1     1.18751
M31          1     1.21876
M32          1     1.25001
M33          1     1.28126
M34          1     1.31251
M35          1     1.34376
M36          1     1.37501
M37          1     1.43751
M38          1     1.50001
M39          1     1.53126
M40          1     1.56251
M41          1     1.65626
M42          1     1.68751
M43          1     1.71876
M44          1     1.75001
M45          1     1.78126
M46          1     1.81251
M47          1     1.84376
M48          1     1.87501
M49          1     1.90626
M50          1     1.93751
M51          1     2.00001
M52          1     2.03126
M53          1     2.06251
M54          1     2.09376
M55          1     2.12501
M56          1     2.15626
M57          1     2.18751
M58          1     2.21876
M59          1     2.28126
M60          1     2.31251
M61          1     2.34376
M62          1     2.37501
M63          1     2.40626
M64          1     2.43751
M65          1     2.46876
M66          1     2.50001
M67          1     2.53126
M68          1     2.56251
M69          1     2.59376
M70          1     2.62501
M71          1     2.65626
M72          1     2.68751
M73          1     2.71876
M74          1     2.75001
M75          1     2.78126
M76          1     2.81251
M77          1     2.84376
M78          1     2.87501
M79          1     2.90626
M80          1     2.93751
M81          1     2.96876
M82          1     3.00001
M83          1     3.03126
M84          1     3.06251
M85          1     3.09376
M86          1     3.12501
M87          1     3.15626
M88          1     3.18751
M89          1     3.21876
M90          1     3.25001
M91          1     3.28126
M92          1     3.31251
M93          1     3.34376
M94          1     3.37501
M95          1     3.40626
M96          1     3.43751
M97          1     3.46876
M98          1     3.50001
M99          1     3.53126
M100         1     3.56251
M101         1     3.59376
M102         1     3.62501
M103         1     3.65626
M104         1     3.68751
M105         1     3.71876
M106         1     3.75001
M107         1     3.78126
M108         1     3.81251
M109         1     3.84376
M110         1     3.87501
M111         1     3.90626
M112         1     3.93751
M113         1     3.96876
M114         1     4.00001
M115         1     4.03126
M116         1     4.06251
M117         1     4.09376
M118         1     4.12501
M119         1     4.15626
M120         1     4.18751
M121         1     4.21876
M122         1     4.25001
M123         1     4.28126
M124         1     4.31251
M125         1     4.37501
M126         1     4.43751
M127         1     4.46876
M128         1     4.50001
M129         1     4.53126
M130         1     4.56251
M131         1     4.59376
M132         1     4.62501
M133         1     4.65626
M134         1     4.68751
M135         1     4.71876
M136         1     4.75001
M137         1     4.78126
M138         1     4.81251
M139         1     4.84376
M140         1     4.87501
M141         1     4.90626
M142         1     4.93751
M143         1     4.96876
M144         1     5.00001
M145         1     5.03125
M146         1     5.06250
M147         1     5.09375
M148         1     5.12500
M149         1     5.15625
M150         1     5.18750
M151         1     5.21875
M152         1     5.25000
M153         1     5.28125
M154         1     5.31250
M155         1     5.34375
M156         1     5.37500
M157         1     5.40625
M158         1     5.43750
M159         1     5.46875
M160         1     5.50000
M161         1     5.53125
M162         1     5.56250
M163         1     5.62500
M164         1     5.65625
M165         1     5.68750
M166         1     5.71875
M167         1     5.75000
M168         1     5.78125
M169         1     5.81250
M170         1     5.84375
M171         1     5.87500
M172         1     5.90625
M173         1     5.93750
M174         1     5.96875
M175         1     6.00000
M176         1     6.03125
M177         1     6.06250
M178         1     6.09375
M179         1     6.12500
M180         1     6.15625
M181         1     6.18750
M182         1     6.21875
M183         1     6.25000
M184         1     6.28125
M185         1     6.31250
M186         1     6.34375
M187         1     6.37500
M188         1     6.40625
M189         1     6.43750
M190         1     6.50000
M191         1     6.53125
M192         1     6.56250
M193         1     6.59375
M194         1     6.62500
M195         1     6.65625
M196         1     6.68750
M197         1     6.71875
M198         1     6.75000
M199         1     6.78125
M200         1     6.81250
M201         1     6.84375
M202         1     6.87500
M203         1     6.90625
M204         1     6.93750
M205         1     6.96875
M206         1     7.00000
M207         1     7.03125
M208         1     7.06250
M209         1     7.09375
M210         1     7.12500
M211         1     7.15625
M212         1     7.18750
M213         1     7.21875
M214         1     7.28125
M215         1     7.31250
M216         1     7.34375
M217         1     7.37500
M218         1     7.40625
M219         1     7.43750
M220         1     7.46875
M221         1     7.50000
M222         1     7.53125
M223         1     7.56250
M224         1     7.59375
M225         1     7.62500
M226         1     7.65625
M227         1     7.71875
M228         1     7.75000
M229         1     7.78125
M230         1     7.84375
M231         1     7.87500
M232         1     7.90625
M233         1     7.96875
M234         1     8.03125
M235         1     8.06250
M236         1     8.09375
M237         1     8.12500
M238         1     8.15625
M239         1     8.18750
M240         1     8.21875
M241         1     8.25000
M242         1     8.28125
M243         1     8.31250
M244         1     8.34375
M245         1     8.37500
M246         1     8.40625
M247         1     8.43750
M248         1     8.46875
M249         1     8.53125
M250         1     8.56250
M251         1     8.68750
M252         1     8.71875
M253         1     8.75000
M254         1     8.78125
M255         1     8.84375
M256         1     8.87500
M257         1     8.90625
M258         1     8.93750
M259         1     9.00000
M260         1     9.03125
M261         1     9.06250
M262         1     9.09375
M263         1     9.12500
M264         1     9.18750
M265         1     9.21875
M266         1     9.25000
M267         1     9.28125
M268         1     9.31250
M269         1     9.34375
M270         1     9.40625
M271         1     9.43750
M272         1     9.46875
M273         1     9.50000
M274         1     9.53125
M275         1     9.56250
M276         1     9.59375
M277         1     9.62500
M278         1     9.65625
M279         1     9.68750
M280         1     9.71875
M281         1     9.75000
M282         1     9.78125
M283         1     9.81250
M284         1     9.84375
M285         1     9.87500
M286         1     9.90625
M287         1     9.96875
M288         1    10.00000
M289         2     0.00001
M290         2     0.03126
M291         2     0.06251
M292         2     0.09376
M293         2     0.12501
M294         2     0.15626
M295         2     0.18751
M296         2     0.21876
M297         2     0.28126
M298         2     0.31251
M299         2     0.34376
M300         2     0.37501
M301         2     0.40626
M302         2     0.43751
M303         2     0.46876
M304         2     0.50001
M305         2     0.53126
M306         2     0.56251
M307         2     0.59376
M308         2     0.62501
M309         2     0.65626
M310         2     0.68751
M311         2     0.71876
M312         2     0.75001
M313         2     0.78126
M314         2     0.81251
M315         2     0.84376
M316         2     0.87501
M317         2     0.90626
M318         2     0.93751
M319         2     0.96876
M320         2     1.00001
M321         2     1.03126
M322         2     1.06251
M323         2     1.12501
M324         2     1.15626
M325         2     1.18751
M326         2     1.21876
M327         2     1.25001
M328         2     1.28126
M329         2     1.31251
M330         2     1.34376
M331         2     1.37501
M332         2     1.40626
M333         2     1.43751
M334         2     1.46876
M335         2     1.50001
M336         2     1.53126
M337         2     1.56251
M338         2     1.59376
M339         2     1.62501
M340         2     1.65626
M341         2     1.68751
M342         2     1.71876
M343         2     1.75001
M344         2     1.81251
M345         2     1.84376
M346         2     1.87501
M347         2     1.90626
M348         2     1.93751
M349         2     1.96876
M350         2     2.00001
M351         2     2.03126
M352         2     2.06251
M353         2     2.09376
M354         2     2.12501
M355         2     2.15626
M356         2     2.18751
M357         2     2.21876
M358         2     2.25001
M359         2     2.28126
M360         2     2.31251
M361         2     2.34376
M362         2     2.37501
M363         2     2.40626
M364         2     2.43751
M365         2     2.46876
M366         2     2.50001
M367         2     2.53126
M368         2     2.56251
M369         2     2.59376
M370         2     2.62501
M371         2     2.65626
M372         2     2.68751
M373         2     2.71876
M374         2     2.75001
M375         2     2.78126
M376         2     2.81251
M377         2     2.84376
M378         2     2.87501
M379         2     2.90626
M380         2     2.93751
M381         2     2.96876
M382         2     3.03126
M383         2     3.06251
M384         2     3.09376
M385         2     3.12501
M386         2     3.18751
M387         2     3.21876
M388         2     3.25001
M389         2     3.28126
M390         2     3.31251
M391         2     3.34376
M392         2     3.37501
M393         2     3.40626
M394         2     3.43751
M395         2     3.46876
M396         2     3.50001
M397         2     3.53126
M398         2     3.56251
M399         2     3.59376
M400         2     3.62501
M401         2     3.65626
M402         2     3.68751
M403         2     3.71876
M404         2     3.75001
M405         2     3.78126
M406         2     3.81251
M407         2     3.84376
M408         2     3.87501
M409         2     3.90626
M410         2     3.93751
M411         2     3.96876
M412         2     4.00001
M413         2     4.03126
M414         2     4.06251
M415         2     4.09376
M416         2     4.12501
M417         2     4.15626
M418         2     4.18751
M419         2     4.21876
M420         2     4.25001
M421         2     4.28126
M422         2     4.31251
M423         2     4.34376
M424         2     4.37501
M425         2     4.40626
M426         2     4.46876
M427         2     4.50001
M428         2     4.53126
M429         2     4.56251
M430         2     4.59376
M431         2     4.62501
M432         2     4.65626
M433         2     4.68751
M434         2     4.71876
M435         2     4.75001
M436         2     4.81251
M437         2     4.84376
M438         2     4.87501
M439         2     4.90626
M440         2     4.96876
M441         2     5.00001
M442         2     5.06250
M443         2     5.09375
M444         2     5.12500
M445         2     5.15625
M446         2     5.18750
M447         2     5.21875
M448         2     5.25000
M449         2     5.28125
M450         2     5.31250
M451         2     5.34375
M452         2     5.37500
M453         2     5.40625
M454         2     5.43750
M455         2     5.46875
M456         2     5.50000
M457         2     5.53125
M458         2     5.56250
M459         2     5.59375
M460         2     5.62500
M461         2     5.65625
M462         2     5.68750
M463         2     5.71875
M464         2     5.75000
M465         2     5.78125
M466         2     5.81250
M467         2     5.84375
M468         2     5.87500
M469         2     5.90625
M470         2     5.96875
M471         2     6.00000
M472         2     6.03125
M473         2     6.09375
M474         2     6.12500
M475         2     6.15625
M476         2     6.18750
M477         2     6.21875
M478         2     6.25000
M479         2     6.28125
M480         2     6.34375
M481         2     6.37500
M482         2     6.40625
M483         2     6.43750
M484         2     6.50000
M485         2     6.53125
M486         2     6.56250
M487         2     6.59375
M488         2     6.62500
M489         2     6.65625
M490         2     6.68750
M491         2     6.71875
M492         2     6.75000
M493         2     6.78125
M494         2     6.81250
M495         2     6.84375
M496         2     6.87500
M497         2     6.90625
M498         2     6.93750
M499         2     6.96875
M500         2     7.00000
M501         2     7.03125
M502         2     7.06250
M503         2     7.09375
M504         2     7.12500
M505         2     7.15625
M506         2     7.18750
M507         2     7.21875
M508         2     7.25000
M509         2     7.28125
M510         2     7.31250
M511         2     7.34375
M512         2     7.37500
M513         2     7.40625
M514         2     7.43750
M515         2     7.46875
M516         2     7.50000
M517         2     7.56250
M518         2     7.59375
M519         2     7.62500
M520         2     7.65625
M521         2     7.68750
M522         2     7.71875
M523         2     7.75000
M524         2     7.81250
M525         2     7.84375
M526         2     7.87500
M527         2     7.90625
M528         2     7.96875
M529         2     8.00000
M530         2     8.06250
M531         2     8.09375
M532         2     8.12500
M533         2     8.15625
M534         2     8.18750
M535         2     8.21875
M536         2     8.25000
M537         2     8.31250
M538         2     8.37500
M539         2     8.40625
M540         2     8.46875
M541         2     8.50000
M542         2     8.53125
M543         2     8.56250
M544         2     8.59375
M545         2     8.62500
M546         2     8.65625
M547         2     8.68750
M548         2     8.71875
M549         2     8.75000
M550         2     8.78125
M551         2     8.81250
M552         2     8.84375
M553         2     8.87500
M554         2     8.90625
M555         2     8.93750
M556         2     8.96875
M557         2     9.00000
M558         2     9.03125
M559         2     9.09375
M560         2     9.12500
M561         2     9.15625
M562         2     9.18750
M563         2     9.21875
M564         2     9.25000
M565         2     9.28125
M566         2     9.31250
M567         2     9.34375
M568         2     9.37500
M569         2     9.40625
M570         2     9.43750
M571         2     9.46875
M572         2     9.50000
M573         2     9.53125
M574         2     9.56250
M575         2     9.59375
M576         2     9.62500
M577         2     9.65625
M578         2     9.68750
M579         2     9.71875
M580         2     9.75000
M581         2     9.78125
M582         2     9.81250
M583         2     9.84375
M584         2     9.90625
M585         2     9.93750
M586         2     9.96875
M587         2    10.00000
M588         3     0.00001
M589         3     0.03126
M590         3     0.06251
M591         3     0.09376
M592         3     0.15626
M593         3     0.18751
M594         3     0.21876
M595         3     0.25001
M596         3     0.28126
M597         3     0.31251
M598         3     0.37501
M599         3     0.40626
M600         3     0.43751
M601         3     0.46876
M602         3     0.50001
M603         3     0.53126
M604         3     0.56251
M605         3     0.59376
M606         3     0.62501
M607         3     0.65626
M608         3     0.68751
M609         3     0.71876
M610         3     0.78126
M611         3     0.81251
M612         3     0.84376
M613         3     0.87501
M614         3     0.90626
M615         3     0.93751
M616         3     0.96876
M617         3     1.00001
M618         3     1.06251
M619         3     1.09376
M620         3     1.12501
M621         3     1.15626
M622         3     1.18751
M623         3     1.21876
M624         3     1.25001
M625         3     1.28126
M626         3     1.31251
M627         3     1.34376
M628         3     1.37501
M629         3     1.40626
M630         3     1.43751
M631         3     1.46876
M632         3     1.50001
M633         3     1.53126
M634         3     1.56251
M635         3     1.59376
M636         3     1.62501
M637         3     1.65626
M638         3     1.68751
M639         3     1.75001
M640         3     1.78126
M641         3     1.81251
M642         3     1.84376
M643         3     1.87501
M644         3     1.90626
M645         3     1.93751
M646         3     1.96876
M647         3     2.00001
M648         3     2.06251
M649         3     2.09376
M650         3     2.12501
M651         3     2.18751
M652         3     2.21876
M653         3     2.25001
M654         3     2.28126
M655         3     2.31251
M656         3     2.34376
M657         3     2.37501
M658         3     2.40626
M659         3     2.43751
M660         3     2.46876
M661         3     2.50001
M662         3     2.53126
M663         3     2.56251
M664         3     2.59376
M665         3     2.65626
M666         3     2.68751
M667         3     2.71876
M668         3     2.75001
M669         3     2.78126
M670         3     2.81251
M671         3     2.84376
M672         3     2.87501
M673         3     2.90626
M674         3     2.93751
M675         3     2.96876
M676         3     3.00001
M677         3     3.03126
M678         3     3.06251
M679         3     3.09376
M680         3     3.12501
M681         3     3.15626
M682         3     3.18751
M683         3     3.25001
M684         3     3.28126
M685         3     3.31251
M686         3     3.34376
M687         3     3.37501
M688         3     3.40626
M689         3     3.43751
M690         3     3.46876
M691         3     3.50001
M692         3     3.53126
M693         3     3.56251
M694         3     3.59376
M695         3     3.62501
M696         3     3.65626
M697         3     3.68751
M698         3     3.71876
M699         3     3.75001
M700         3     3.78126
M701         3     3.81251
M702         3     3.84376
M703         3     3.87501
M704         3     3.90626
M705         3     3.93751
M706         3     3.96876
M707         3     4.00001
M708         3     4.03126
M709         3     4.06251
M710         3     4.09376
M711         3     4.12501
M712         3     4.15626
M713         3     4.18751
M714         3     4.21876
M715         3     4.25001
M716         3     4.28126
M717         3     4.31251
M718         3     4.34376
M719         3     4.43751
M720         3     4.46876
M721         3     4.50001
M722         3     4.56251
M723         3     4.59376
M724         3     4.62501
M725         3     4.65626
M726         3     4.68751
M727         3     4.75001
M728         3     4.78126
M729         3     4.81251
M730         3     4.84376
M731         3     4.87501
M732         3     4.90626
M733         3     4.93751
M734         3     4.96876
M735         3     5.00001
M736         3     5.06250
M737         3     5.09375
M738         3     5.12500
M739         3     5.15625
M740         3     5.18750
M741         3     5.21875
M742         3     5.25000
M743         3     5.28125
M744         3     5.31250
M745         3     5.34375
M746         3     5.37500
M747         3     5.43750
M748         3     5.46875
M749         3     5.53125
M750         3     5.56250
M751         3     5.59375
M752         3     5.62500
M753         3     5.68750
M754         3     5.75000
M755         3     5.78125
M756         3     5.87500
M757         3     5.90625
M758         3     5.96875
M759         3     6.00000
M760         3     6.03125
M761         3     6.06250
M762         3     6.09375
M763         3     6.12500
M764         3     6.15625
M765         3     6.18750
M766         3     6.25000
M767         3     6.28125
M768         3     6.34375
M769         3     6.37500
M770         3     6.43750
M771         3     6.46875
M772         3     6.50000
M773         3     6.53125
M774         3     6.56250
M775         3     6.59375
M776         3     6.62500
M777         3     6.65625
M778         3     6.68750
M779         3     6.71875
M780         3     6.75000
M781         3     6.78125
M782         3     6.81250
M783         3     6.84375
M784         3     6.87500
M785         3     6.96875
M786         3     7.03125
M787         3     7.06250
M788         3     7.09375
M789         3     7.12500
M790         3     7.15625
M791         3     7.21875
M792         3     7.28125
M793         3     7.31250
M794         3     7.34375
M795         3     7.37500
M796         3     7.40625
M797         3     7.43750
M798         3     7.46875
M799         3     7.50000
M800         3     7.53125
M801         3     7.56250
M802         3     7.59375
M803         3     7.62500
M804         3     7.65625
M805         3     7.68750
M806         3     7.75000
M807         3     7.78125
M808         3     7.81250
M809         3     7.84375
M810         3     7.87500
M811         3     7.90625
M812         3     7.93750
M813         3     7.96875
M814         3     8.03125
M815         3     8.06250
M816         3     8.09375
M817         3     8.12500
M818         3     8.15625
M819         3     8.18750
M820         3     8.21875
M821         3     8.25000
M822         3     8.28125
M823         3     8.31250
M824         3     8.34375
M825         3     8.37500
M826         3     8.40625
M827         3     8.43750
M828         3     8.46875
M829         3     8.50000
M830         3     8.53125
M831         3     8.56250
M832         3     8.59375
M833         3     8.62500
M834         3     8.65625
M835         3     8.68750
M836         3     8.71875
M837         3     8.75000
M838         3     8.78125
M839         3     8.81250
M840         3     8.84375
M841         3     8.87500
M842         3     8.90625
M843         3     8.93750
M844         3     8.96875
M845         3     9.00000
M846         3     9.03125
M847         3     9.06250
M848         3     9.09375
M849         3     9.12500
M850         3     9.15625
M851         3     9.21875
M852         3     9.25000
M853         3     9.28125
M854         3     9.31250
M855         3     9.34375
M856         3     9.37500
M857         3     9.40625
M858         3     9.43750
M859         3     9.46875
M860         3     9.50000
M861         3     9.53125
M862         3     9.56250
M863         3     9.59375
M864         3     9.62500
M865         3     9.71875
M866         3     9.75000
M867         3     9.78125
M868         3     9.81250
M869         3     9.84375
M870         3     9.87500
M871         3     9.90625
M872         3     9.93750
M873         3     9.96875
M874         3    10.00000
M875         4     0.00001
M876         4     0.03126
M877         4     0.06251
M878         4     0.09376
M879         4     0.12501
M880         4     0.15626
M881         4     0.18751
M882         4     0.21876
M883         4     0.25001
M884         4     0.28126
M885         4     0.31251
M886         4     0.34376
M887         4     0.37501
M888         4     0.40626
M889         4     0.43751
M890         4     0.46876
M891         4     0.50001
M892         4     0.53126
M893         4     0.56251
M894         4     0.65626
M895         4     0.68751
M896         4     0.71876
M897         4     0.75001
M898         4     0.78126
M899         4     0.81251
M900         4     0.84376
M901         4     0.87501
M902         4     0.90626
M903         4     0.93751
M904         4     0.96876
M905         4     1.00001
M906         4     1.03126
M907         4     1.06251
M908         4     1.09376
M909         4     1.12501
M910         4     1.15626
M911         4     1.18751
M912         4     1.21876
M913         4     1.25001
M914         4     1.28126
M915         4     1.31251
M916         4     1.34376
M917         4     1.37501
M918         4     1.40626
M919         4     1.43751
M920         4     1.46876
M921         4     1.50001
M922         4     1.53126
M923         4     1.56251
M924         4     1.62501
M925         4     1.65626
M926         4     1.68751
M927         4     1.71876
M928         4     1.75001
M929         4     1.81251
M930         4     1.84376
M931         4     1.87501
M932         4     1.90626
M933         4     1.93751
M934         4     1.96876
M935         4     2.00001
M936         4     2.03126
M937         4     2.06251
M938         4     2.09376
M939         4     2.12501
M940         4     2.15626
M941         4     2.18751
M942         4     2.21876
M943         4     2.25001
M944         4     2.28126
M945         4     2.31251
M946         4     2.34376
M947         4     2.37501
M948         4     2.40626
M949         4     2.43751
M950         4     2.46876
M951         4     2.50001
M952         4     2.53126
M953         4     2.56251
M954         4     2.59376
M955         4     2.62501
M956         4     2.65626
M957         4     2.68751
M958         4     2.71876
M959         4     2.75001
M960         4     2.78126
M961         4     2.81251
M962         4     2.84376
M963         4     2.87501
M964         4     2.90626
M965         4     2.93751
M966         4     2.96876
M967         4     3.00001
M968         4     3.03126
M969         4     3.06251
M970         4     3.09376
M971         4     3.12501
M972         4     3.15626
M973         4     3.18751
M974         4     3.21876
M975         4     3.25001
M976         4     3.28126
M977         4     3.31251
M978         4     3.34376
M979         4     3.37501
M980         4     3.40626
M981         4     3.43751
M982         4     3.46876
M983         4     3.50001
M984         4     3.53126
M985         4     3.56251
M986         4     3.59376
M987         4     3.62501
M988         4     3.65626
M989         4     3.68751
M990         4     3.71876
M991         4     3.78126
M992         4     3.84376
M993         4     3.87501
M994         4     3.90626
M995         4     3.93751
M996         4     3.96876
M997         4     4.00001
M998         4     4.03126
M999         4     4.06251
M1000        4     4.09376
M1001        4     4.12501
M1002        4     4.15626
M1003        4     4.18751
M1004        4     4.21876
M1005        4     4.25001
M1006        4     4.28126
M1007        4     4.31251
M1008        4     4.34376
M1009        4     4.37501
M1010        4     4.40626
M1011        4     4.43751
M1012        4     4.50001
M1013        4     4.53126
M1014        4     4.56251
M1015        4     4.59376
M1016        4     4.62501
M1017        4     4.65626
M1018        4     4.68751
M1019        4     4.71876
M1020        4     4.75001
M1021        4     4.78126
M1022        4     4.81251
M1023        4     4.84376
M1024        4     4.87501
M1025        4     4.90626
M1026        4     4.93751
M1027        4     4.96876
M1028        4     5.00001
M1029        4     5.03125
M1030        4     5.06250
M1031        4     5.09375
M1032        4     5.12500
M1033        4     5.15625
M1034        4     5.18750
M1035        4     5.21875
M1036        4     5.25000
M1037        4     5.28125
M1038        4     5.31250
M1039        4     5.34375
M1040        4     5.37500
M1041        4     5.40625
M1042        4     5.43750
M1043        4     5.50000
M1044        4     5.53125
M1045        4     5.56250
M1046        4     5.59375
M1047        4     5.62500
M1048        4     5.65625
M1049        4     5.68750
M1050        4     5.71875
M1051        4     5.75000
M1052        4     5.78125
M1053        4     5.81250
M1054        4     5.84375
M1055        4     5.87500
M1056        4     5.90625
M1057        4     5.93750
M1058        4     5.96875
M1059        4     6.00000
M1060        4     6.03125
M1061        4     6.06250
M1062        4     6.09375
M1063        4     6.12500
M1064        4     6.15625
M1065        4     6.18750
M1066        4     6.21875
M1067        4     6.25000
M1068        4     6.28125
M1069        4     6.31250
M1070        4     6.34375
M1071        4     6.37500
M1072        4     6.40625
M1073        4     6.43750
M1074        4     6.46875
M1075        4     6.50000
M1076        4     6.53125
M1077        4     6.56250
M1078        4     6.59375
M1079        4     6.62500
M1080        4     6.65625
M1081        4     6.68750
M1082        4     6.71875
M1083        4     6.75000
M1084        4     6.78125
M1085        4     6.81250
M1086        4     6.87500
M1087        4     6.90625
M1088        4     6.93750
M1089        4     6.96875
M1090        4     7.00000
M1091        4     7.03125
M1092        4     7.06250
M1093        4     7.09375
M1094        4     7.12500
M1095        4     7.15625
M1096        4     7.18750
M1097        4     7.21875
M1098        4     7.25000
M1099        4     7.28125
